lng,lat,maydoni,xonalar_soni,kv_qavat,qavatlar_soni,tuman,manzil,narxi
69.2810486,41.3714709,57.0,3,4,4,Yunusobod,"город Ташкент, Yunusobod район, Юнусабад 8-й квартал",52000
69.2611035,41.2911155,52.0,2,4,5,Yakkasaroy,"город Ташкент, Yakkasaroy район, 1-й тупик Шота Руставели",56000
69.223683,41.2807837,42.0,2,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",37000
69.1968618,41.2901628,65.0,3,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 9-й квартал",49500
69.2108312,41.3001561,70.0,3,3,5,Chilonzor,"город Ташкент, Chilonzor район, площадь Актепа",55000
69.2117625,41.2857552,28.0,1,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",25500
69.200587,41.274633,30.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-16",21200
69.2431373,41.2820131,32.0,2,5,5,Yakkasaroy,"город Ташкент, Yakkasaroy район, Саламатина",20000
69.1737654,41.2924208,51.0,2,3,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар-21",26200
69.2058023,41.2894422,30.0,1,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-8",22200
69.1909015,41.2962523,30.0,2,2,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар-14",24200
69.1804708,41.259418,67.0,3,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-20",30200
69.1961168,41.271386,30.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-17",21200
69.200587,41.274633,30.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-16",21200
69.1849411,41.2710841,30.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-19",21200
69.1849411,41.2710841,35.0,1,1,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-19",22500
69.1804708,41.259418,43.0,1,4,4,Chilonzor,"город Ташкент, Chilonzor район, Г9а",22500
69.2087824,41.2948119,51.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-7",21200
69.3675816,41.3576548,65.0,3,1,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Феруза",32500
69.1961168,41.271386,51.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-17",22200
69.1968618,41.2901628,51.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-9",24200
69.2415634,41.2673079,90.0,4,5,5,Yakkasaroy,"город Ташкент, Yakkasaroy район, Кушбеги",45000
69.1962495,41.2769954,80.0,4,3,4,Chilonzor,"город Ташкент, Chilonzor район, 1-й проезд Заргарлик",56000
69.2898134,41.3052221,70.0,2,5,5,Yashnobod,"город Ташкент, Yashnobod район, Садыка Азимова (Жуковского) ",47000
69.3875774,41.3619703,69.0,3,1,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, ТТЗ-4",49900
69.2680561,41.3035042,80.0,3,2,4,Mirobod,"город Ташкент, Mirobod район, Афросиёб",76000
69.1839655,41.2902787,96.0,3,3,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 13-й квартал махалля Кухна-Чупонота",65000
69.1909015,41.2770171,76.0,4,4,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",47500
69.1871763,41.290141,45.0,2,4,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 13-й квартал",30000
69.2177228,41.2916859,27.0,1,3,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",32000
69.1804708,41.2978921,65.0,2,3,9,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 30-й квартал",44000
69.223683,41.2807837,64.0,2,3,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",56500
