lng,lat,maydoni,narxi
69.1489148,41.3560707,123.5,155750.0
69.154116,41.2630748,94.0,85000.0
69.155375,41.256626,93.66666666666667,53666.666666666664
69.1566894,41.3178861,63.333333333333336,37344.444444444445
69.1576663,41.2821153,81.26086956521739,50782.608695652176
69.1601855,41.3059159,85.0,52500.0
69.1602624,41.2654467,66.034,48840.0
69.1619116,41.2942023,85.0,45000.0
69.162198,41.260048,76.37837837837837,48610.81081081081
69.1634633,41.2627949,61.0,51500.0
69.1638237,41.2606228,77.53842105263158,50784.21052631579
69.1640609,41.2819493,80.0,36000.0
69.164452,41.297802,95.0,39000.0
69.1647666,41.262123,65.5,43708.333333333336
69.165259,41.343321,78.0,48000.0
69.1654401,41.2985463,65.0,33000.0
69.1654767,41.287777,69.5,47000.0
69.1660888,41.2871464,56.0,40500.0
69.1670599,41.2701173,70.0,50000.0
69.1670599,41.2797359,67.0,46509.78431372549
69.167754,41.2459068,60.0,47000.0
69.167805,41.3345513,68.25,39000.0
69.1687783,41.3277954,72.0,38000.0
69.1689332,41.3488728,40.41,25000.0
69.169096,41.284586,57.0,36533.333333333336
69.1692951,41.2879715,54.32142857142857,35678.57142857143
69.1700401,41.3379756,68.19125,49750.0
69.1700401,41.3451812,96.27272727272727,69636.36363636363
69.1703261,41.3211218,63.0,41000.0
69.1704754,41.3397875,73.75,47375.0
69.1711557,41.2636404,57.0,42000.0
69.1712737,41.2796609,65.0,32000.0
69.1730881,41.2937955,54.23333333333333,34000.0
69.1731127,41.2757257,57.0,35000.0
69.1732997,41.2946618,33.0,23700.0
69.1737654,41.2924208,52.472368421052636,36134.21052631579
69.1755815,41.3386832,71.0,45000.0
69.1760005,41.2814223,64.49297297297296,42814.86486486487
69.1767738,41.3054153,59.0,32000.0
69.1781265,41.2601131,62.083333333333336,41083.333333333336
69.1782823,41.2960146,63.0,37000.0
69.1785536,41.3531468,76.0,39500.0
69.1788116,41.3351574,96.0,72000.0
69.1789807,41.2771751,61.986486486486484,41910.81081081081
69.1789807,41.2867929,66.5858064516129,44599.032258064515
69.1804667,41.3036372,164.0,163500.0
69.1804708,41.259418,61.55117886178862,42773.170731707316
69.1804708,41.2978921,73.17305194805195,48589.61038961039
69.1806212,41.2815959,62.333333333333336,37166.666666666664
69.1811302,41.2904325,80.0,82000.0
69.1819609,41.2657122,61.57631578947369,39860.52631578947
69.1819609,41.3378221,95.66666666666667,48500.0
69.1820981,41.2895921,48.0,25500.0
69.182706,41.2953086,64.3240350877193,42064.0350877193
69.1829207,41.3234238,96.0,75000.0
69.183103,41.2884048,38.0,27500.0
69.1838618,41.3116519,41.5,25500.0
69.1839655,41.2902787,68.83636363636364,51597.163636363635
69.1840356,41.2730577,105.0,70000.0
69.1841336,41.2846997,76.0,63000.0
69.1841876,41.2998429,93.0,63500.0
69.1849411,41.2710841,66.53448275862068,45871.68965517241
69.1852899,41.3630364,94.0,65000.0
69.1871763,41.290141,59.46666666666667,37406.666666666664
69.1871884,41.2750057,63.5,36750.0
69.1879213,41.281265,69.04878048780488,50619.48780487805
69.1880751,41.2881302,66.875,46125.0
69.188987,41.329543,202.0,190750.0
69.1897839,41.2855233,64.0,37199.8
69.1909015,41.2770171,54.75471698113208,40456.56603773585
69.1909015,41.2962523,62.462222222222216,43907.38888888889
69.191274,41.2990269,48.0,39000.0
69.1916465,41.2729489,58.833333333333336,41345.833333333336
69.1916465,41.2885792,68.0,49500.0
69.1924284,41.2721373,33.0,24700.0
69.1926482,41.3595375,171.0,81000.0
69.1931366,41.3621443,62.855714285714285,36071.42857142857
69.1952565,41.3268984,80.2,57708.4
69.1953608,41.3539187,104.92,54000.0
69.1957173,41.3289988,40.0,23000.0
69.1959189,41.2573956,89.63636363636364,70300.0
69.1961168,41.271386,58.76190476190476,39773.01587301587
69.1962495,41.2769954,87.0,58066.0
69.1962565,41.3569165,75.0,45000.0
69.1965399,41.3572628,58.0,28000.0
69.196601,41.312128,100.0,68000.0
69.1968618,41.2829494,61.05769230769231,47192.28846153846
69.1968618,41.2901628,58.285714285714285,39946.93877551021
69.197332,41.344197,139.0,150000.0
69.1978864,41.2414368,44.8,34500.0
69.1980236,41.3525405,130.0,110000.0
69.1986802,41.2628493,80.0,45000.0
69.1986902,41.3693776,59.714285714285715,35871.42857142857
69.1988148,41.3453662,98.5,90000.0
69.199176,41.340191,277.5,135000.0
69.200587,41.274633,53.857142857142854,38759.183673469386
69.2009595,41.2882297,37.333333333333336,25600.0
69.2024657,41.2999039,54.5,45250.0
69.2027548,41.2828663,60.89,41000.0
69.20291280000001,41.2985011,54.339999999999996,44760.0
69.2033584,41.2758017,80.5,51500.0
69.2037311,41.3461242,119.66666666666667,116495.0
69.2042191,41.3654815,91.0,37000.0
69.2045116,41.2975496,30.0,22300.0
69.2048432,41.3227628,74.0,46500.0
69.204872,41.3004131,105.0,78500.0
69.2049339,41.369849,56.0,32500.0
69.2052868,41.2753331,82.72727272727273,72045.45454545454
69.2052901,41.2701928,75.0,87000.0
69.2058023,41.2798237,91.22465753424657,71339.38356164383
69.2058023,41.2894422,53.28169014084507,40301.366197183095
69.2058488,41.3416105,56.0,38000.0
