lng,lat,dom_turi,adres_tuman,dom_qavatlar_soni,kv_maydoni,kv_qavat,kv_xonalar_soni,maydon/xona,narxi
69.2810486,41.3714709,past,Yunusobod,4,57.0,4,3,19.0,52000
69.2611035,41.2911155,past,Yakkasaroy,5,52.0,4,2,26.0,56000
69.223683,41.2807837,past,Chilonzor,4,42.0,4,2,21.0,37000
69.1968618,41.2901628,past,Chilonzor,4,65.0,1,3,21.666666666666668,49500
69.2108312,41.3001561,past,Chilonzor,5,70.0,3,3,23.333333333333332,55000
69.2117625,41.2857552,past,Chilonzor,4,28.0,1,1,28.0,25500
69.200587,41.274633,past,Chilonzor,4,30.0,2,1,30.0,21200
69.2431373,41.2820131,past,Yakkasaroy,5,32.0,5,2,16.0,20000
69.1737654,41.2924208,past,Uchtepa,4,51.0,3,2,25.5,26200
69.2058023,41.2894422,past,Chilonzor,4,30.0,1,1,30.0,22200
69.1909015,41.2962523,past,Uchtepa,5,30.0,2,2,15.0,24200
69.1804708,41.259418,past,Chilonzor,5,67.0,2,3,22.333333333333332,30200
69.1961168,41.271386,past,Chilonzor,4,30.0,2,1,30.0,21200
69.1849411,41.2710841,past,Chilonzor,4,30.0,2,1,30.0,21200
69.1849411,41.2710841,past,Chilonzor,5,35.0,1,1,35.0,22500
69.1804708,41.259418,past,Chilonzor,4,43.0,4,1,43.0,22500
69.2087824,41.2948119,past,Chilonzor,4,51.0,2,2,25.5,21200
69.3675816,41.3576548,past,Mirzo Ulugbek,4,65.0,1,3,21.666666666666668,32500
69.1961168,41.271386,past,Chilonzor,4,51.0,2,2,25.5,22200
69.1968618,41.2901628,past,Chilonzor,4,51.0,2,2,25.5,24200
69.2415634,41.2673079,past,Yakkasaroy,5,90.0,5,4,22.5,45000
69.1962495,41.2769954,past,Chilonzor,4,80.0,3,4,20.0,56000
69.2898134,41.3052221,past,Yashnobod,5,70.0,5,2,35.0,47000
69.3875774,41.3619703,past,Mirzo Ulugbek,4,69.0,1,3,23.0,49900
69.2680561,41.3035042,past,Mirobod,4,80.0,2,3,26.666666666666668,76000
69.1839655,41.2902787,past,Uchtepa,4,96.0,3,3,32.0,65000
69.1909015,41.2770171,past,Uchtepa,4,76.0,4,4,19.0,47500
69.1871763,41.290141,past,Uchtepa,5,45.0,4,2,22.5,30000
69.2177228,41.2916859,past,Chilonzor,4,27.0,3,1,27.0,32000
69.1804708,41.2978921,orta,Uchtepa,9,65.0,3,2,32.5,44000
69.223683,41.2807837,past,Chilonzor,4,64.0,3,2,32.0,56500
69.2087824,41.2948119,orta,Chilonzor,9,42.0,5,1,42.0,35000
69.2087824,41.2948119,past,Chilonzor,4,26.0,2,1,26.0,23500
69.1789807,41.2771751,past,Uchtepa,5,76.0,5,4,19.0,60500
69.1819609,41.2657122,past,Chilonzor,4,80.0,2,3,26.666666666666668,68000
69.20291280000001,41.2985011,past,Chilonzor,5,72.0,5,3,24.0,41500
69.1804708,41.2978921,orta,Uchtepa,12,100.0,3,4,25.0,55000
69.1909015,41.2770171,past,Uchtepa,4,65.0,4,3,21.666666666666668,44000
69.1909015,41.2770171,past,Uchtepa,4,80.0,3,4,20.0,52500
69.1804708,41.2978921,orta,Uchtepa,9,72.0,6,3,24.0,43000
69.2785087,41.2991561,past,Mirobod,4,65.0,1,2,32.5,80000
69.2415634,41.2673079,past,Yakkasaroy,5,63.0,1,2,31.5,42000
69.2415634,41.2673079,orta,Yakkasaroy,9,48.0,5,2,24.0,23000
69.3190425,41.3707855,past,Yunusobod,4,70.0,3,3,23.333333333333332,47000
69.2552666,41.2818558,orta,Yakkasaroy,12,102.0,7,3,34.0,88784
69.1804708,41.2978921,past,Uchtepa,4,78.0,2,4,19.5,65000
69.1804708,41.259418,past,Chilonzor,4,100.0,1,4,25.0,97000
69.1849411,41.2710841,past,Chilonzor,4,34.0,1,1,34.0,28500
69.1968618,41.2829494,past,Chilonzor,4,42.0,2,2,21.0,34500
69.182706,41.2953086,past,Uchtepa,5,80.0,4,4,20.0,51000
69.1804708,41.2978921,orta,Uchtepa,12,90.0,1,3,30.0,51000
69.223683,41.2807837,past,Chilonzor,4,45.0,2,2,22.5,48000
69.162198,41.260048,past,Chilonzor,5,70.0,5,3,23.333333333333332,40000
69.2058023,41.2798237,orta,Chilonzor,9,96.0,7,4,24.0,67000
69.1670599,41.2797359,past,Uchtepa,5,80.0,4,4,20.0,68000
69.1760005,41.2814223,past,Uchtepa,4,63.0,1,2,31.5,40500
69.1789807,41.2867929,past,Uchtepa,5,56.0,4,2,28.0,54000
69.1692951,41.2879715,past,Uchtepa,4,52.0,1,2,26.0,36000
69.1879213,41.281265,past,Uchtepa,4,98.0,2,3,32.666666666666664,68000
69.2534409,41.3068527,orta,Chilonzor,9,96.0,9,3,32.0,63000
69.2102725,41.3275402,past,Shayhontohur,4,93.0,4,4,23.25,63500
69.2824454,41.3365221,orta,Shayhontohur,9,60.0,9,2,30.0,49500
69.162198,41.260048,past,Chilonzor,4,82.0,4,5,16.4,70000
69.1789807,41.2867929,orta,Uchtepa,9,120.0,9,5,24.0,52000
69.182706,41.2953086,past,Uchtepa,3,110.0,3,4,27.5,91000
69.2288981,41.2847707,past,Chilonzor,4,95.0,2,4,23.75,83000
69.223683,41.265874,past,Uchtepa,4,56.0,1,2,28.0,40500
69.2290098,41.2885649,past,Chilonzor,4,68.0,3,3,22.666666666666668,48000
69.2475235,41.3333453,past,Olmzor,4,57.0,3,2,28.5,42000
69.3235123,41.286283,orta,Yashnobod,11,46.0,11,1,46.0,19765
69.223683,41.2807837,past,Chilonzor,4,45.0,4,2,22.5,34500
69.2840285,41.3804352,orta,Yunusobod,9,40.0,1,2,20.0,40000
69.3875774,41.3427418,past,Mirzo Ulugbek,5,95.0,5,3,31.666666666666668,50000
69.2773236,41.3197131,orta,Yunusobod,9,53.0,1,2,26.5,68000
69.243806,41.3376966,orta,Olmzor,9,72.0,4,2,36.0,41500
69.3230626,41.3215876,past,Mirzo Ulugbek,5,65.0,4,3,21.666666666666668,41500
69.2773236,41.3197131,past,Yunusobod,4,82.0,1,4,20.5,86000
69.1804708,41.259418,orta,Chilonzor,9,42.0,3,1,42.0,25500
69.1804708,41.259418,past,Chilonzor,4,54.0,4,2,27.0,31500
69.1804708,41.259418,past,Chilonzor,4,42.0,1,1,42.0,26500
69.1804708,41.2978921,orta,Uchtepa,9,20.0,3,1,20.0,14500
69.2117625,41.2857552,past,Chilonzor,4,45.0,4,2,22.5,45000
69.1804708,41.259418,past,Chilonzor,5,46.0,2,1,46.0,30000
69.1804708,41.259418,past,Chilonzor,4,50.0,2,2,25.0,34500
69.1804708,41.259418,past,Chilonzor,4,36.0,2,1,36.0,27000
69.1879213,41.281265,orta,Uchtepa,9,80.0,6,4,20.0,59500
69.2143264,41.3239274,orta,Uchtepa,9,72.0,3,3,24.0,48000
69.1670599,41.2797359,past,Uchtepa,5,78.0,5,4,19.5,47299
69.162198,41.260048,past,Chilonzor,5,46.0,4,2,23.0,37000
69.2058023,41.2894422,past,Chilonzor,4,60.0,2,2,30.0,38000
69.2187028,41.3638683,orta,Olmzor,9,58.0,5,2,29.0,29500
69.1968618,41.2829494,orta,Chilonzor,7,70.0,2,2,35.0,56000
69.2489174,41.2788969,orta,Yakkasaroy,9,68.0,6,2,34.0,45000
69.1804708,41.2978921,past,Uchtepa,5,100.0,3,4,25.0,61500
69.2290098,41.2885649,past,Chilonzor,5,68.0,5,3,22.666666666666668,46500
69.1804708,41.2978921,orta,Uchtepa,12,70.0,4,3,23.333333333333332,51000
69.162198,41.260048,orta,Chilonzor,9,90.0,5,3,30.0,58400
69.162198,41.260048,past,Chilonzor,5,60.0,5,3,20.0,47000
69.1804708,41.2978921,past,Uchtepa,5,80.0,5,4,20.0,52500
69.1804708,41.2978921,past,Uchtepa,5,74.0,3,3,24.666666666666668,50000
69.2288981,41.2847707,past,Chilonzor,5,48.0,2,2,24.0,41500
69.162198,41.260048,orta,Chilonzor,9,94.0,9,4,23.5,45000
69.1760005,41.2814223,orta,Uchtepa,9,65.0,4,3,21.666666666666668,47500
69.1804708,41.259418,past,Chilonzor,4,85.0,3,4,21.25,52500
69.1760005,41.2814223,past,Uchtepa,5,42.0,5,1,42.0,26000
69.2058023,41.2798237,past,Chilonzor,4,110.0,3,4,27.5,105000
69.1916465,41.2729489,past,Uchtepa,4,70.0,4,3,23.333333333333332,42000
69.2058023,41.2894422,past,Chilonzor,5,68.0,2,3,22.666666666666668,53500
69.3078679,41.3080076,past,Yashnobod,3,20.0,3,1,20.0,12500
69.2785087,41.2991561,orta,Mirobod,7,110.0,4,3,36.666666666666664,107000
69.1849411,41.2710841,past,Chilonzor,4,46.0,3,2,23.0,35000
69.2058023,41.2798237,past,Chilonzor,5,125.0,5,4,31.25,70000
69.2942247,41.3180348,zamonaviy,Mirzo Ulugbek,19,72.0,18,2,36.0,55000
69.3473509,41.3292204,orta,Mirzo Ulugbek,9,64.67,7,2,32.335,39414
69.4292923,41.4153867,orta,Yunusobod,9,70.0,4,2,35.0,60000
69.2773236,41.3245206,orta,Yunusobod,9,50.0,7,1,50.0,37000
69.3246635,41.319567,past,Mirzo Ulugbek,4,51.0,2,2,25.5,49000
69.3675816,41.3576548,past,Mirzo Ulugbek,2,22.0,1,1,22.0,18000
69.2177228,41.2916859,past,Chilonzor,4,54.0,1,2,27.0,42500
69.2177228,41.2916859,past,Chilonzor,5,30.0,3,1,30.0,34500
69.1849411,41.2710841,orta,Chilonzor,9,42.0,5,1,42.0,37000
69.262388,41.296195,past,Yakkasaroy,4,70.0,2,3,23.333333333333332,70000
69.2312263,41.3162377,past,Shayhontohur,4,68.0,2,3,22.666666666666668,45800
69.2087824,41.2948119,past,Chilonzor,4,30.0,4,1,30.0,24000
69.1909015,41.2962523,past,Uchtepa,4,52.0,1,1,52.0,58000
69.200587,41.274633,past,Chilonzor,4,72.0,4,4,18.0,55500
69.200587,41.274633,past,Chilonzor,4,76.0,2,4,19.0,68000
69.1760005,41.2814223,past,Uchtepa,4,48.0,4,2,24.0,31000
69.162198,41.260048,orta,Chilonzor,9,66.0,3,2,33.0,47000
69.2058023,41.2798237,past,Chilonzor,5,60.0,3,3,20.0,47000
69.2117625,41.2857552,past,Chilonzor,4,37.0,1,2,18.5,41000
69.3389519,41.3392308,past,Mirzo Ulugbek,4,40.0,3,1,40.0,24000
69.2892434,41.3700057,past,Yunusobod,4,61.0,1,2,30.5,55000
69.2169777,41.2837307,past,Chilonzor,4,32.0,2,1,32.0,28500
69.200587,41.274633,past,Chilonzor,4,65.0,4,3,21.666666666666668,42000
69.1839655,41.2902787,past,Uchtepa,5,66.0,2,3,22.0,67000
69.2177228,41.2916859,past,Chilonzor,4,70.0,4,3,23.333333333333332,46500
69.2152083,41.2773103,past,Chilonzor,4,66.0,4,3,22.0,50500
69.1909015,41.2770171,past,Uchtepa,4,65.0,1,3,21.666666666666668,40000
69.3415733,41.2785565,orta,Yashnobod,8,37.0,5,1,37.0,13071
69.3473509,41.3292204,orta,Mirzo Ulugbek,9,69.65,4,2,34.825,45188
69.1909015,41.2770171,past,Uchtepa,5,88.0,4,4,22.0,53000
69.2415634,41.2673079,past,Yakkasaroy,5,38.0,2,1,38.0,25600
69.275364,41.295316,orta,Mirobod,9,61.0,6,2,30.5,52000
69.3323894,41.3462538,orta,Mirzo Ulugbek,7,45.0,3,2,22.5,44000
69.2251673,41.2202309,orta,Sergeli,9,69.0,2,3,23.0,40000
69.3473509,41.3292204,orta,Mirzo Ulugbek,9,55.13,5,2,27.565,35226
69.2058023,41.2894422,past,Chilonzor,4,67.0,4,3,22.333333333333332,54000
69.1952565,41.3268984,past,Shayhontohur,5,38.0,5,1,38.0,22500
69.3726789,41.3375577,past,Mirzo Ulugbek,4,67.0,2,2,33.5,36500
69.2582738,41.2892951,orta,Yakkasaroy,9,54.0,4,2,27.0,40000
69.1804708,41.259418,orta,Chilonzor,9,58.0,1,2,29.0,35000
